,Name,View count,Like count,Dislike count,Comment count,Release Date
0,NBA YoungBoy - ALL IN,11422212,372373,11382,31300,07-25
1,Billie Eilish - my future,19531868,2101425,46268,194242,07-30
2,Mulatto - Muwop (Official Video) ft. Gucci Mane,3098639,135888,6412,6501,07-30
3,"Beyoncé, Shatta Wale, Major Lazer – ALREADY (Official Video)",6764911,555946,13093,40445,07-31
4,YoungBoy Never Broke Again - One Shot feat. Lil Baby [Official Music Video],2535699,97774,2243,5389,07-30
5,Taylor Swift - cardigan (Official Music Video),38773277,1598647,39447,106074,07-24
6,Nessa Barrett - Pain [Official Music Video],2325779,217623,24605,41860,07-31
7,Queen Naija - Pack Lite (Official Video),1952329,128154,1781,8087,07-31
8,"Jack Harlow - WHATS POPPIN feat. Dababy, Tory Lanez, & Lil Wayne [Official Music Video]",26440508,708192,13510,35006,07-17
9,NLE Choppa - Narrow Road ft. Lil Baby (Official Audio),1742460,140095,1743,11611,07-30
10,Fredo Bang - Monsters,417494,24687,512,2064,07-31
11,"Pop Smoke - The Woo ft. 50 Cent, Roddy Ricch",13689081,407484,6832,19936,07-20
12,Maluma - Hawái (Official Video),10283775,463605,13009,17527,07-29
13,"Chris Brown, Young Thug - Go Crazy (Official Video)",20202208,667412,19999,35891,07-17
14,Future & Lil Uzi Vert - Over Your Head [Official Audio],591702,60462,541,5446,07-31
15,Jacquees & Chris Brown - Put In Work (Official Music Video),4331536,166389,3702,5602,07-24
16,"J. Balvin, Dua Lipa, Bad Bunny, Tainy - UN DIA (ONE DAY)",33478871,1327283,49914,58447,07-24
17,King Von - Why He Told (Official Video),2824163,112487,1843,7135,07-24
18,Gunna - DOLLAZ ON MY HEAD (feat. Young Thug) [Official Video],2248933,98919,1553,3496,07-24
19,Harry Styles - Watermelon Sugar (Behind the Scenes),2193700,374075,1500,19493,07-31
20,"MC Davo, Dharius, C-Kan & Zimple - Préndete Un Blunt (Remix) [Video Oficial]",4198299,288408,4329,26590,07-30
21,Yandel x Anuel AA - Por Mi Reggae Muero 2020 (Audio Oficial),1501375,81550,1730,5038,07-31
22,Blake Shelton - Happy Anywhere (feat. Gwen Stefani) (Official Music Video),2591831,56783,1724,3589,07-24
23,A$AP Ferg - Move Ya Hips feat. Nicki Minaj & MadeinTYO (Visualizer),703541,41305,1166,3678,07-30
24,Shoreline Mafia - Aww Shit [Official Audio],277207,21977,87,658,07-31
25,Kevin Gates - Difficult [Official Audio],1630867,56912,1027,2663,07-21
26,"30 Deep Grimeyy Feat. Lil Baby ""Loose Screw"" (Official Video)",1343679,75843,861,2968,07-24
27,Corey Taylor - CMFT Must Be Stopped (feat. Tech N9ne & Kid Bookie) [OFFICIAL VIDEO],1056997,54432,4813,6694,07-29
28,The Kid LAROI - I WISH (Official Video),1225388,94580,1171,6290,07-27
29,Blueface - Respect My Cryppin’ ft. Snoop Dogg,3516477,162496,7562,12262,07-24
30,Farruko - La Tóxica (Official Video),14763919,395985,11925,11376,07-24
31,Everardo - En Tu Barrio (En Vivo) ft. Natanael Cano,568340,37268,764,1365,07-29
32,"Mozzy, Celly Ru - In My Section (Official Video) ft. Savii 3rd, $tupid Young",353540,17742,249,798,07-30
33,Los Enjambres (En Vivo),218272,1509,64,38,07-30
34,Marilyn Manson - WE ARE CHAOS,1509584,92273,5244,13123,07-29
35,The Weeknd - Snowchild (Official Video),6946021,383818,5799,17365,07-22
36,Jessi (제시) - '눈누난나 (NUNU NANA)' MV,5139216,495369,6511,25657,07-30
37,Lil XXEL - LMK (Official Music Video),384498,21282,423,1582,07-31
38,Logic - Aquarius III,1394166,102092,1588,5942,07-28
39,DJ Khaled ft. Drake - POPSTAR (Official Audio),7233428,172063,8096,10457,07-17
40,Sam Smith - My Oasis (feat Burna Boy) (Lyric Video) ft. Burna Boy,1520985,111687,819,5209,07-30
41,WayV 威神V 'Bad Alive (English Ver.)' MV,2892377,556157,1838,57067,07-29
42,The Climb Back,804097,25976,549,432,07-23
43,Headie One x Drake - Only You Freestyle,10971772,430525,11674,37954,07-20
44,Moneybagg Yo - Protect Da Brand (feat. DaBaby) (Official Music Video),2640580,59177,1943,1844,07-17
45,Dan + Shay - I Should Probably Go To Bed (Official Music Video),504807,7551,187,986,07-31
46,Gorillaz - PAC-MAN ft. ScHoolboy Q (Episode Five),4728817,342632,4196,17952,07-20
47,Romeo Santos & Alex Bueno - Nuestro Amor (Official Lyric Video),2510566,110282,1498,4649,07-24
48,Jason Derulo - Savage Love ft. Jawsh 685 (Lyrics),1151195,17666,584,641,07-29
49,Ozuna x Wisin - Gistro Amarillo  (Video Oficial),45879174,214995,5730,26172,07-23
